Date,Location,Age,Gender,Married,Occupation,Total Spend
07/01/2020,Chennai,40,Female,No,Doc,450
07/01/2020,Bangalore,42,Male,No,Student,530
07/01/2020,Bangalore,37,Female,No,Doc,500
07/01/2020,Pune,35,Male,Yes,Doc,260
08/01/2020,Delhi,27,Male,Yes,Doc,220
08/01/2020,Delhi,25,Female,Yes,Student,260
08/01/2020,Hyderabad,37,Male,No,Student,210
09/01/2020,Ahmedabad,35,Male,Yes,Doc,490
09/01/2020,Pune,38,Male,Yes,Doc,350
09/01/2020,Hyderabad,25,Genderfluid,No,Student,150
09/01/2020,Pune,30,Male,Yes,IT,300
09/01/2020,Mumbai,27,Female,No,Doc,120
09/01/2020,Delhi,29,Female,Yes,IT,420
09/01/2020,Pune,39,Female,No,Student,220
09/01/2020,Bangalore,34,Male,No,Student,110
10/01/2020,Mumbai,34,Male,Yes,Doc,250
10/01/2020,Mumbai,25,Male,No,Student,160
10/01/2020,Pune,37,Male,No,Doc,130
10/01/2020,Mumbai,28,Female,Yes,Doc,430
10/01/2020,Mumbai,41,Female,No,Doc,400
10/01/2020,Delhi,32,Female,Yes,IT,120
10/01/2020,Kolkata,36,Male,No,Student,190
11/01/2020,Kolkata,28,Genderfluid,Yes,IT,400
11/01/2020,Pune,35,Non-binary,Yes,IT,250
11/01/2020,Pune,42,Male,Yes,IT,430
11/01/2020,Kolkata,38,Male,No,Student,120
11/01/2020,Pune,35,Non-binary,No,Student,470
12/01/2020,Mumbai,28,Non-binary,No,Doc,120
12/01/2020,Delhi,41,Female,No,Doc,450
12/01/2020,Hyderabad,25,Female,No,Student,280
12/01/2020,Chennai,36,Female,No,Student,500
12/01/2020,Bangalore,34,Female,Yes,IT,420
12/01/2020,Hyderabad,26,Male,Yes,IT,230
13/01/2020,Pune,33,Male,No,Student,360
13/01/2020,Hyderabad,38,Agender,Yes,Doc,470
13/01/2020,Chennai,30,Male,Yes,Student,360
14/01/2020,Kolkata,33,Male,Yes,Doc,330
14/01/2020,Chennai,25,Male,No,Doc,200
14/01/2020,Chennai,42,Female,No,IT,400
15/01/2020,Mumbai,36,Female,No,Doc,490
15/01/2020,Mumbai,42,Male,No,Doc,330
15/01/2020,Kolkata,27,Female,No,Doc,310
15/01/2020,Mumbai,41,Genderfluid,No,Doc,400
15/01/2020,Delhi,41,Male,No,Student,340
16/01/2020,Mumbai,32,Female,No,Doc,170
16/01/2020,Ahmedabad,37,Male,No,IT,430
16/01/2020,Hyderabad,28,Female,No,Doc,330
16/01/2020,Mumbai,27,Non-binary,No,Doc,490
16/01/2020,Chennai,42,Female,Yes,IT,350
16/01/2020,Bangalore,31,Female,Yes,Doc,510
17/01/2020,Chennai,39,Female,Yes,Student,350
17/01/2020,Mumbai,34,Female,Yes,Student,180
17/01/2020,Bangalore,34,Female,Yes,IT,260
17/01/2020,Hyderabad,34,Female,No,Student,330
17/01/2020,Bangalore,34,Agender,No,Student,170
17/01/2020,Hyderabad,32,Female,Yes,Student,480
17/01/2020,Hyderabad,43,Female,No,Doc,170
17/01/2020,Pune,26,Female,No,Doc,330
17/01/2020,Bangalore,26,Male,Yes,Student,110
17/01/2020,Mumbai,37,Female,Yes,Student,130
17/01/2020,Bangalore,36,Male,Yes,Student,350
17/01/2020,Kolkata,33,Non-binary,No,Student,380
18/01/2020,Delhi,35,Female,No,Student,320
18/01/2020,Kolkata,25,Male,No,Student,530
18/01/2020,Ahmedabad,42,Genderqueer,Yes,IT,190
18/01/2020,Mumbai,39,Female,No,Student,210
18/01/2020,Hyderabad,42,Male,No,IT,220
18/01/2020,Hyderabad,29,Female,No,Doc,190
19/01/2020,Chennai,25,Non-binary,No,Doc,430
19/01/2020,Delhi,42,Male,No,IT,380
19/01/2020,Hyderabad,34,Male,Yes,Student,500
19/01/2020,Bangalore,35,Female,Yes,IT,440
19/01/2020,Delhi,30,Female,Yes,Student,460
19/01/2020,Bangalore,33,Female,Yes,Doc,120
19/01/2020,Kolkata,36,Female,No,Student,180
20/01/2020,Kolkata,38,Bigender,Yes,Student,480
20/01/2020,Bangalore,25,Male,No,Student,150
20/01/2020,Chennai,37,Male,Yes,Doc,420
20/01/2020,Bangalore,37,Male,Yes,Doc,350
20/01/2020,Hyderabad,30,Female,No,Doc,480
21/01/2020,Mumbai,33,Female,No,Student,190
21/01/2020,Delhi,26,Male,No,Student,280
21/01/2020,Mumbai,40,Female,No,Doc,470
21/01/2020,Chennai,28,Male,No,Doc,320
22/01/2020,Ahmedabad,38,Female,No,Student,260
22/01/2020,Bangalore,37,Bigender,Yes,IT,510
22/01/2020,Pune,43,Female,Yes,Doc,500
22/01/2020,Pune,35,Female,Yes,Student,500
22/01/2020,Kolkata,36,Male,Yes,Doc,150
23/01/2020,Bangalore,43,Female,Yes,Student,140
23/01/2020,Chennai,25,Female,No,Doc,110
23/01/2020,Kolkata,31,Male,Yes,Doc,360
23/01/2020,Delhi,31,Male,No,IT,490
23/01/2020,Bangalore,31,Female,Yes,IT,460
23/01/2020,Ahmedabad,42,Female,Yes,Doc,340
23/01/2020,Ahmedabad,27,Bigender,Yes,Student,460
23/01/2020,Hyderabad,30,Female,No,Doc,340
23/01/2020,Hyderabad,33,Male,Yes,Student,150
24/01/2020,Ahmedabad,34,Male,No,Student,500
24/01/2020,Mumbai,27,Male,No,Student,530
24/01/2020,Mumbai,34,Male,Yes,Student,360
24/01/2020,Mumbai,41,Female,Yes,Student,280
24/01/2020,Hyderabad,41,Male,Yes,IT,410
24/01/2020,Pune,38,Male,No,IT,350
24/01/2020,Kolkata,43,Male,Yes,IT,220
24/01/2020,Chennai,35,Male,Yes,IT,410
25/01/2020,Chennai,30,Male,Yes,Doc,280
25/01/2020,Pune,42,Female,Yes,Doc,210
26/01/2020,Bangalore,26,Female,No,Student,250
26/01/2020,Delhi,28,Female,No,Doc,240
26/01/2020,Kolkata,28,Female,No,Student,520
26/01/2020,Pune,31,Male,Yes,IT,290
26/01/2020,Pune,34,Female,No,IT,260
26/01/2020,Chennai,39,Male,Yes,Student,360
26/01/2020,Hyderabad,27,Female,Yes,IT,200
26/01/2020,Mumbai,32,Male,No,IT,110
26/01/2020,Hyderabad,33,Male,Yes,IT,280
27/01/2020,Ahmedabad,25,Male,No,Student,370
27/01/2020,Ahmedabad,26,Female,Yes,IT,410
27/01/2020,Chennai,43,Male,Yes,IT,450
27/01/2020,Ahmedabad,27,Male,Yes,Student,150
27/01/2020,Ahmedabad,33,Male,Yes,Doc,120
27/01/2020,Ahmedabad,26,Male,No,Student,360
27/01/2020,Hyderabad,32,Male,Yes,IT,140
27/01/2020,Chennai,30,Female,Yes,IT,200
28/01/2020,Mumbai,43,Male,Yes,Doc,160
28/01/2020,Chennai,28,Female,Yes,IT,500
28/01/2020,Bangalore,35,Male,Yes,Doc,410
28/01/2020,Bangalore,35,Female,No,IT,210
28/01/2020,Pune,43,Male,Yes,IT,500
28/01/2020,Chennai,40,Male,No,IT,320
28/01/2020,Chennai,27,Female,No,Student,440
29/01/2020,Hyderabad,37,Male,No,Student,190
29/01/2020,Ahmedabad,43,Male,Yes,Doc,180
29/01/2020,Mumbai,31,Male,Yes,Doc,410
29/01/2020,Kolkata,30,Female,No,Doc,180
29/01/2020,Ahmedabad,39,Agender,No,IT,350
29/01/2020,Pune,33,Female,Yes,Student,210
30/01/2020,Pune,31,Female,Yes,IT,140
30/01/2020,Hyderabad,30,Male,Yes,Doc,300
30/01/2020,Mumbai,29,Agender,Yes,IT,120
30/01/2020,Mumbai,41,Male,No,IT,290
30/01/2020,Mumbai,30,Male,No,Student,240
31/01/2020,Chennai,28,Female,Yes,Doc,290
31/01/2020,Kolkata,40,Male,Yes,Student,380
31/01/2020,Hyderabad,37,Female,Yes,IT,390
31/01/2020,Chennai,30,Male,Yes,Student,190
31/01/2020,Kolkata,37,Agender,Yes,Student,520
01/02/2020,Bangalore,36,Female,Yes,Doc,480
01/02/2020,Pune,39,Female,Yes,Doc,370
01/02/2020,Bangalore,40,Male,Yes,Doc,420
01/02/2020,Mumbai,40,Female,Yes,Student,490
01/02/2020,Mumbai,37,Male,No,Student,400
01/02/2020,Ahmedabad,28,Female,Yes,Doc,130
01/02/2020,Hyderabad,38,Female,No,Doc,350
02/02/2020,Kolkata,38,Female,Yes,Student,370
02/02/2020,Bangalore,29,Female,No,IT,350
03/02/2020,Pune,43,Male,No,Student,120
03/02/2020,Delhi,36,Male,Yes,Doc,250
03/02/2020,Pune,34,Male,No,Student,350
03/02/2020,Mumbai,26,Female,Yes,Student,220
03/02/2020,Hyderabad,36,Male,No,Student,520
03/02/2020,Kolkata,37,Non-binary,No,Student,350
03/02/2020,Hyderabad,31,Genderqueer,Yes,Student,420
03/02/2020,Delhi,42,Female,Yes,Student,220
03/02/2020,Kolkata,41,Male,Yes,Student,220
04/02/2020,Delhi,26,Female,Yes,Student,270
04/02/2020,Chennai,37,Female,No,Student,180
04/02/2020,Bangalore,32,Male,No,Student,260
04/02/2020,Mumbai,26,Female,Yes,Student,150
04/02/2020,Delhi,34,Female,Yes,IT,490
05/02/2020,Mumbai,40,Female,Yes,IT,390
05/02/2020,Mumbai,43,Female,Yes,Student,290
06/02/2020,Hyderabad,27,Female,No,Student,390
06/02/2020,Hyderabad,36,Female,Yes,Student,510
06/02/2020,Mumbai,34,Male,No,IT,390
06/02/2020,Ahmedabad,37,Agender,Yes,IT,220
06/02/2020,Hyderabad,30,Non-binary,Yes,IT,140
06/02/2020,Ahmedabad,40,Male,Yes,Student,480
06/02/2020,Ahmedabad,27,Male,No,Student,190
07/02/2020,Bangalore,37,Female,No,IT,320
07/02/2020,Delhi,43,Female,Yes,IT,350
07/02/2020,Hyderabad,30,Male,No,Doc,360
07/02/2020,Ahmedabad,38,Male,No,Doc,130
07/02/2020,Hyderabad,26,Female,No,Doc,190
08/02/2020,Hyderabad,39,Female,Yes,IT,290
08/02/2020,Pune,29,Genderqueer,Yes,Doc,210
08/02/2020,Kolkata,30,Male,No,Student,190
08/02/2020,Mumbai,27,Female,No,IT,260
08/02/2020,Hyderabad,42,Male,Yes,Doc,410
08/02/2020,Kolkata,30,Male,No,Student,350
08/02/2020,Pune,43,Female,Yes,Doc,160
09/02/2020,Bangalore,35,Male,Yes,Doc,340
09/02/2020,Kolkata,38,Male,Yes,IT,530
09/02/2020,Ahmedabad,28,Male,Yes,Student,230
09/02/2020,Bangalore,42,Bigender,Yes,IT,180
09/02/2020,Kolkata,43,Female,No,IT,140
09/02/2020,Mumbai,35,Female,Yes,Student,190
09/02/2020,Ahmedabad,28,Male,No,Doc,110
09/02/2020,Hyderabad,33,Female,Yes,Student,500
09/02/2020,Ahmedabad,26,Male,No,Student,200
09/02/2020,Chennai,29,Male,Yes,Student,210
09/02/2020,Kolkata,27,Genderfluid,Yes,Doc,250
10/02/2020,Hyderabad,29,Female,No,Student,150
10/02/2020,Mumbai,42,Female,Yes,Student,390
10/02/2020,Chennai,31,Female,No,IT,290
10/02/2020,Bangalore,36,Female,Yes,Student,440
10/02/2020,Ahmedabad,26,Male,Yes,IT,150
11/02/2020,Ahmedabad,28,Male,Yes,Doc,500
11/02/2020,Bangalore,36,Female,Yes,IT,190
11/02/2020,Pune,27,Female,Yes,IT,520
11/02/2020,Delhi,37,Male,Yes,Student,270
11/02/2020,Ahmedabad,34,Male,No,Doc,290
11/02/2020,Chennai,34,Female,No,IT,480
12/02/2020,Bangalore,37,Female,No,Doc,290
12/02/2020,Mumbai,30,Male,No,IT,210
12/02/2020,Chennai,36,Male,Yes,Student,150
12/02/2020,Delhi,27,Male,Yes,Doc,480
12/02/2020,Chennai,40,Male,Yes,Doc,330
13/02/2020,Delhi,30,Female,Yes,Student,170
13/02/2020,Mumbai,37,Genderqueer,No,Student,500
13/02/2020,Ahmedabad,32,Male,No,IT,420
13/02/2020,Hyderabad,37,Male,No,Doc,390
14/02/2020,Ahmedabad,34,Male,Yes,Doc,410
14/02/2020,Kolkata,31,Male,Yes,Student,390
14/02/2020,Pune,40,Female,No,Doc,450
14/02/2020,Mumbai,28,Male,No,IT,110
14/02/2020,Hyderabad,38,Female,No,Student,270
15/02/2020,Bangalore,32,Female,Yes,Student,400
15/02/2020,Mumbai,31,Male,No,IT,210
15/02/2020,Mumbai,39,Female,No,Doc,510
16/02/2020,Delhi,40,Female,Yes,IT,340
16/02/2020,Ahmedabad,35,Female,Yes,Doc,400
16/02/2020,Bangalore,31,Male,No,Student,230
16/02/2020,Chennai,25,Male,No,IT,360
17/02/2020,Ahmedabad,36,Female,No,Student,430
17/02/2020,Pune,28,Male,No,Student,210
17/02/2020,Ahmedabad,42,Female,Yes,Student,370
17/02/2020,Chennai,28,Genderqueer,Yes,Doc,440
18/02/2020,Bangalore,28,Male,Yes,Student,160
18/02/2020,Ahmedabad,43,Male,Yes,Student,360
18/02/2020,Delhi,33,Male,No,Doc,220
18/02/2020,Kolkata,30,Male,Yes,Doc,400
18/02/2020,Bangalore,26,Male,Yes,Student,280
18/02/2020,Ahmedabad,33,Male,Yes,Doc,410
19/02/2020,Chennai,32,Female,No,Student,280
19/02/2020,Delhi,26,Bigender,No,Doc,390
19/02/2020,Pune,28,Female,Yes,IT,420
19/02/2020,Chennai,33,Female,Yes,IT,480
19/02/2020,Chennai,29,Male,Yes,Doc,530
19/02/2020,Hyderabad,28,Male,Yes,Student,340
19/02/2020,Chennai,36,Male,Yes,Doc,330
20/02/2020,Ahmedabad,29,Female,Yes,Student,330
20/02/2020,Delhi,38,Male,No,Doc,110
20/02/2020,Chennai,35,Female,No,Doc,150
20/02/2020,Hyderabad,26,Agender,No,Doc,480
20/02/2020,Ahmedabad,36,Male,No,Student,320
21/02/2020,Mumbai,40,Female,Yes,Student,370
21/02/2020,Mumbai,41,Male,Yes,IT,370
21/02/2020,Bangalore,25,Female,Yes,Student,510
22/02/2020,Kolkata,42,Male,Yes,Doc,300
22/02/2020,Mumbai,30,Female,No,IT,170
22/02/2020,Bangalore,39,Female,Yes,Doc,270
22/02/2020,Kolkata,26,Male,No,Doc,380
22/02/2020,Delhi,32,Female,Yes,Student,450
23/02/2020,Mumbai,29,Female,No,Doc,340
23/02/2020,Hyderabad,36,Male,Yes,IT,480
23/02/2020,Mumbai,32,Male,No,IT,110
23/02/2020,Bangalore,26,Female,Yes,Doc,510
23/02/2020,Kolkata,39,Male,Yes,Doc,530
23/02/2020,Hyderabad,36,Male,Yes,Doc,150
24/02/2020,Mumbai,33,Male,Yes,IT,240
24/02/2020,Chennai,41,Female,No,Student,120
24/02/2020,Pune,27,Female,No,Student,240
24/02/2020,Hyderabad,27,Male,Yes,Doc,120
24/02/2020,Delhi,26,Male,No,IT,240
25/02/2020,Delhi,37,Male,No,IT,140
25/02/2020,Pune,32,Female,No,IT,330
25/02/2020,Ahmedabad,26,Female,Yes,IT,200
25/02/2020,Bangalore,39,Male,No,Doc,170
25/02/2020,Pune,37,Bigender,No,Doc,380
26/02/2020,Hyderabad,36,Male,Yes,Student,300
26/02/2020,Kolkata,29,Male,Yes,Doc,400
26/02/2020,Delhi,29,Male,No,Doc,170
26/02/2020,Pune,36,Female,No,IT,330
26/02/2020,Delhi,40,Female,No,Student,190
26/02/2020,Kolkata,28,Female,No,Student,520
27/02/2020,Pune,42,Female,No,Doc,310
27/02/2020,Delhi,32,Male,Yes,Student,360
27/02/2020,Ahmedabad,31,Male,No,Doc,400
27/02/2020,Mumbai,40,Male,No,Doc,430
27/02/2020,Kolkata,34,Polygender,Yes,Student,140
27/02/2020,Mumbai,37,Male,Yes,Doc,190
27/02/2020,Kolkata,40,Male,No,Doc,460
28/02/2020,Chennai,37,Female,Yes,IT,420
28/02/2020,Chennai,40,Male,No,IT,520
28/02/2020,Delhi,40,Agender,Yes,IT,220
28/02/2020,Mumbai,25,Male,No,Student,520
28/02/2020,Mumbai,34,Female,Yes,Student,430
28/02/2020,Pune,37,Male,Yes,IT,120
28/02/2020,Kolkata,33,Male,No,Doc,230
28/02/2020,Hyderabad,26,Male,Yes,Student,440
29/02/2020,Chennai,37,Female,Yes,IT,210
29/02/2020,Hyderabad,31,Male,Yes,IT,430
29/02/2020,Ahmedabad,26,Female,No,IT,150
29/02/2020,Kolkata,41,Female,No,Student,470
29/02/2020,Hyderabad,36,Agender,No,IT,530
01/03/2020,Kolkata,31,Male,No,IT,430
01/03/2020,Kolkata,36,Male,Yes,Student,460
01/03/2020,Chennai,32,Male,No,IT,300
01/03/2020,Chennai,43,Bigender,No,Student,420
02/03/2020,Bangalore,36,Female,No,Student,310
02/03/2020,Mumbai,42,Female,No,Doc,430
02/03/2020,Delhi,33,Female,Yes,Doc,420
02/03/2020,Delhi,25,Male,Yes,Doc,150
02/03/2020,Ahmedabad,41,Female,No,Doc,530
02/03/2020,Chennai,42,Female,No,Doc,360
02/03/2020,Pune,39,Female,Yes,Doc,530
02/03/2020,Delhi,38,Female,Yes,Doc,530
02/03/2020,Pune,25,Female,Yes,Student,260
03/03/2020,Mumbai,41,Female,No,IT,260
03/03/2020,Mumbai,32,Female,Yes,IT,480
03/03/2020,Kolkata,28,Male,Yes,Student,250
03/03/2020,Hyderabad,39,Female,No,Student,420
04/03/2020,Hyderabad,27,Male,Yes,IT,470
04/03/2020,Kolkata,33,Female,No,Doc,310
04/03/2020,Pune,30,Male,Yes,Student,390
05/03/2020,Delhi,37,Male,Yes,IT,170
05/03/2020,Hyderabad,32,Female,Yes,Student,400
05/03/2020,Ahmedabad,42,Genderqueer,No,Student,190
05/03/2020,Hyderabad,39,Female,No,IT,470
05/03/2020,Pune,35,Male,No,Student,280
05/03/2020,Bangalore,34,Male,No,Doc,520
05/03/2020,Pune,31,Female,Yes,Doc,450
05/03/2020,Chennai,43,Male,Yes,IT,130
06/03/2020,Hyderabad,40,Female,No,Student,530
06/03/2020,Mumbai,34,Female,Yes,Doc,470
06/03/2020,Hyderabad,26,Female,No,Student,370
06/03/2020,Kolkata,41,Female,Yes,Student,220
06/03/2020,Hyderabad,32,Male,Yes,IT,510
06/03/2020,Ahmedabad,40,Female,Yes,Student,350
06/03/2020,Pune,39,Male,Yes,Doc,470
06/03/2020,Ahmedabad,35,Male,Yes,Doc,270
07/03/2020,Ahmedabad,33,Female,No,IT,500
07/03/2020,Hyderabad,34,Female,No,IT,240
07/03/2020,Bangalore,29,Male,Yes,Student,220
07/03/2020,Chennai,43,Male,No,Doc,460
07/03/2020,Pune,26,Bigender,No,Student,160
07/03/2020,Pune,39,Male,No,Doc,380
07/03/2020,Delhi,40,Male,Yes,Student,260
08/03/2020,Chennai,33,Female,No,Student,160
08/03/2020,Bangalore,42,Female,No,Doc,330
09/03/2020,Mumbai,27,Female,No,Doc,190
09/03/2020,Hyderabad,40,Male,Yes,IT,510
11/03/2020,Delhi,40,Female,No,Doc,420
11/03/2020,Chennai,26,Male,Yes,IT,420
11/03/2020,Hyderabad,37,Female,Yes,Doc,190
11/03/2020,Mumbai,38,Female,No,Doc,450
12/03/2020,Pune,26,Male,Yes,Doc,430
12/03/2020,Bangalore,43,Female,No,Doc,470
12/03/2020,Delhi,42,Female,Yes,IT,300
12/03/2020,Pune,41,Female,No,Doc,150
12/03/2020,Kolkata,32,Male,Yes,IT,450
12/03/2020,Hyderabad,39,Female,Yes,Doc,220
12/03/2020,Mumbai,28,Bigender,No,IT,480
13/03/2020,Kolkata,27,Male,Yes,Doc,140
13/03/2020,Ahmedabad,35,Male,No,Student,360
13/03/2020,Hyderabad,26,Female,No,Student,130
13/03/2020,Mumbai,33,Female,No,IT,500
14/03/2020,Pune,37,Female,Yes,Student,190
14/03/2020,Hyderabad,40,Female,Yes,IT,360
14/03/2020,Delhi,26,Male,Yes,IT,490
14/03/2020,Pune,41,Male,Yes,Doc,510
14/03/2020,Pune,34,Male,No,IT,510
14/03/2020,Bangalore,34,Female,Yes,IT,450
14/03/2020,Pune,31,Female,Yes,IT,420
14/03/2020,Bangalore,42,Bigender,No,IT,390
15/03/2020,Delhi,38,Female,Yes,IT,230
15/03/2020,Delhi,26,Polygender,No,Doc,480
15/03/2020,Hyderabad,27,Male,No,Student,530
16/03/2020,Ahmedabad,36,Female,No,IT,330
16/03/2020,Hyderabad,28,Female,No,IT,280
16/03/2020,Pune,38,Genderqueer,No,Student,330
17/03/2020,Bangalore,35,Male,No,Doc,400
17/03/2020,Bangalore,30,Male,Yes,IT,340
17/03/2020,Pune,34,Non-binary,No,Student,130
17/03/2020,Pune,30,Agender,Yes,IT,120
17/03/2020,Pune,36,Female,Yes,Doc,360
17/03/2020,Delhi,26,Non-binary,Yes,IT,280
17/03/2020,Mumbai,43,Male,No,Doc,130
17/03/2020,Ahmedabad,28,Male,Yes,Student,310
17/03/2020,Delhi,42,Male,No,Doc,140
17/03/2020,Chennai,36,Male,Yes,IT,360
18/03/2020,Delhi,33,Female,Yes,Doc,350
18/03/2020,Kolkata,41,Male,Yes,Doc,240
18/03/2020,Delhi,36,Female,Yes,Doc,510
18/03/2020,Chennai,41,Male,Yes,IT,500
18/03/2020,Ahmedabad,26,Male,No,IT,460
18/03/2020,Hyderabad,42,Male,Yes,Doc,370
18/03/2020,Delhi,42,Non-binary,Yes,IT,200
19/03/2020,Kolkata,28,Female,No,IT,210
19/03/2020,Mumbai,36,Male,No,IT,110
19/03/2020,Delhi,26,Genderqueer,No,Doc,310
19/03/2020,Pune,35,Male,No,IT,440
19/03/2020,Chennai,39,Male,No,Student,300
20/03/2020,Pune,33,Female,No,IT,120
20/03/2020,Mumbai,36,Female,No,Student,450
20/03/2020,Pune,37,Male,Yes,IT,240
20/03/2020,Pune,32,Female,No,Doc,460
20/03/2020,Bangalore,42,Female,Yes,IT,160
21/03/2020,Mumbai,29,Male,No,IT,110
21/03/2020,Pune,25,Male,No,IT,430
21/03/2020,Mumbai,40,Female,No,IT,340
21/03/2020,Kolkata,39,Female,Yes,Student,460
21/03/2020,Ahmedabad,39,Male,Yes,Doc,510
21/03/2020,Kolkata,41,Male,Yes,Doc,470
22/03/2020,Pune,32,Male,No,Doc,450
22/03/2020,Hyderabad,38,Male,No,Student,150
22/03/2020,Mumbai,26,Female,No,Doc,440
22/03/2020,Bangalore,33,Male,Yes,Student,200
22/03/2020,Mumbai,32,Female,No,Doc,360
22/03/2020,Chennai,27,Agender,Yes,IT,460
22/03/2020,Delhi,35,Male,No,Doc,510
22/03/2020,Chennai,25,Male,Yes,IT,190
23/03/2020,Chennai,34,Female,No,Student,210
23/03/2020,Delhi,25,Male,Yes,Doc,150
23/03/2020,Mumbai,41,Female,Yes,IT,230
23/03/2020,Pune,28,Male,Yes,IT,180
24/03/2020,Hyderabad,40,Male,Yes,IT,260
24/03/2020,Bangalore,31,Female,No,Student,200
24/03/2020,Hyderabad,36,Male,Yes,Doc,300
24/03/2020,Delhi,30,Male,Yes,Student,130
24/03/2020,Mumbai,34,Male,Yes,IT,520
24/03/2020,Bangalore,36,Male,No,IT,180
25/03/2020,Delhi,37,Male,Yes,IT,400
25/03/2020,Bangalore,42,Agender,No,IT,420
25/03/2020,Bangalore,29,Female,Yes,Student,130
25/03/2020,Kolkata,39,Male,Yes,Doc,380
25/03/2020,Mumbai,33,Male,No,IT,240
25/03/2020,Pune,31,Male,Yes,Doc,160
25/03/2020,Hyderabad,26,Female,Yes,Student,530
25/03/2020,Chennai,32,Male,Yes,IT,390
25/03/2020,Ahmedabad,29,Female,Yes,Doc,520
25/03/2020,Pune,36,Female,No,Student,470
26/03/2020,Pune,42,Male,Yes,Doc,320
26/03/2020,Mumbai,41,Agender,No,IT,210
26/03/2020,Kolkata,28,Male,No,Doc,250
26/03/2020,Kolkata,30,Male,Yes,Student,350
26/03/2020,Pune,40,Male,No,IT,120
26/03/2020,Bangalore,31,Female,No,IT,380
26/03/2020,Chennai,43,Female,Yes,IT,350
26/03/2020,Mumbai,26,Female,No,IT,150
26/03/2020,Delhi,39,Female,Yes,Doc,530
27/03/2020,Bangalore,29,Male,Yes,Doc,150
27/03/2020,Bangalore,30,Female,No,IT,440
27/03/2020,Ahmedabad,40,Female,Yes,IT,200
27/03/2020,Mumbai,36,Female,Yes,IT,470
27/03/2020,Bangalore,39,Male,No,Student,330
27/03/2020,Ahmedabad,37,Female,No,Student,500
28/03/2020,Pune,36,Female,No,IT,320
28/03/2020,Bangalore,41,Female,No,Student,380
28/03/2020,Kolkata,42,Agender,Yes,Doc,330
28/03/2020,Kolkata,25,Female,Yes,IT,450
28/03/2020,Hyderabad,40,Female,No,IT,400
28/03/2020,Kolkata,37,Female,Yes,Student,390
28/03/2020,Pune,33,Female,No,Student,350
28/03/2020,Ahmedabad,33,Female,No,Doc,230
28/03/2020,Kolkata,41,Female,Yes,Student,200
28/03/2020,Kolkata,29,Male,Yes,IT,320
29/03/2020,Ahmedabad,42,Male,Yes,Student,130
29/03/2020,Mumbai,37,Genderqueer,Yes,Student,470
29/03/2020,Hyderabad,33,Male,No,Student,130
29/03/2020,Ahmedabad,38,Male,No,IT,110
30/03/2020,Ahmedabad,37,Female,No,Student,380
30/03/2020,Hyderabad,41,Male,No,IT,130
30/03/2020,Hyderabad,40,Female,No,Doc,190
30/03/2020,Hyderabad,33,Female,Yes,Student,310
31/03/2020,Bangalore,38,Male,No,IT,270
31/03/2020,Kolkata,36,Male,Yes,Doc,460
31/03/2020,Delhi,31,Male,No,Doc,480
01/04/2020,Chennai,40,Male,Yes,IT,450
01/04/2020,Mumbai,39,Male,No,Doc,240
01/04/2020,Mumbai,33,Female,No,Student,140
02/04/2020,Mumbai,26,Male,No,Doc,240
02/04/2020,Pune,42,Male,Yes,Doc,160
02/04/2020,Hyderabad,33,Male,No,Student,440
02/04/2020,Mumbai,43,Female,No,IT,350
02/04/2020,Mumbai,30,Female,No,Doc,320
02/04/2020,Ahmedabad,31,Female,Yes,IT,180
